IDs Xsnap Ysnap IDr Xcoord Ycoord YYYY MM QMIN Q10 Q20 Q30 Q40 Q50 Q60 Q70 Q80 Q90 QMAX
35739 -71.217087 -31.656250 26163 -7927850.000000 -3523957.750000 1967 1 1.982000 2.163000 2.512000 2.543000 2.659000 2.860000 3.115000 3.330000 3.642000 4.146000 4.531000
4080 11.194583 48.885418 31830 1246175.250000 5441900.000000 1967 5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
18594 -98.466248 35.233749 16834 -10961213.000000 3922203.000000 1967 8 1.880000 1.952000 2.000000 2.110000 2.218000 2.230000 2.230000 2.350000 2.522000 3.550000 5.320000
33082 -44.302917 -13.557917 27481 -4931778.000000 -1509260.375000 1967 8 1.444000 1.620000 1.855000 2.078000 2.209000 2.435000 2.551000 2.605000 2.953000 3.506000 5.578000
3401 4.626250 51.337082 31542 514991.781250 5714818.000000 1967 8 0.028000 0.036000 0.040000 0.051000 0.068000 0.088000 0.114000 0.123000 0.128000 0.130000 0.142000
40499 117.614586 -22.669584 35002 13092796.000000 -2523566.500000 1967 8 0.119000 0.263000 0.271000 0.282000 10.622000 11.242000 11.491000 19.403000 25.179001 37.945000 37.945000
5498 -5.897917 13.213750 30970 -656553.125000 1470947.875000 1967 8 2.294000 2.322000 2.418000 2.464000 2.492000 2.520000 2.520000 2.549000 2.670000 2.837000 3.087000
13611 -90.904587 46.497917 13209 -10119452.000000 5176124.500000 1967 9 32.000000 37.000000 42.000000 42.000000 44.000000 44.000000 47.000000 47.000000 49.000000 51.000000 51.000000
21309 -111.762085 42.202084 12092 -12441298.000000 4697914.500000 1967 9 13.509000 14.051000 15.161000 16.698999 17.292000 17.895000 18.098000 18.712999 20.395000 21.259001 25.490999
687 -116.257919 46.478748 7222 -12941772.000000 5173990.500000 1967 10 0.878000 0.906000 0.906000 0.934000 1.017000 1.076000 1.260000 1.954000 2.206000 2.316000 2.492000
