IDs Xsnap Ysnap IDr Xcoord Ycoord YYYY MM QMIN Q10 Q20 Q30 Q40 Q50 Q60 Q70 Q80 Q90 QMAX
18783 -92.633751 32.928749 18189 -10311942.000000 3665611.500000 1973 6 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.007000 0.068000
34081 -44.136250 -21.895416 28333 -4913225.000000 -2437386.500000 1973 7 0.934000 0.980000 1.059000 1.280000 1.767000 2.265000 2.679000 3.608000 4.095000 17.183001 30.299000
14002 -84.382919 43.678749 18611 -9393464.000000 4862296.000000 1973 12 9.170000 9.896000 10.710000 11.840000 12.970000 14.000000 15.340000 16.600000 18.250000 19.780001 21.500000
23327 -123.891251 40.481251 2900 -13791511.000000 4506352.000000 1973 12 63.599998 79.000000 90.000000 100.000000 105.400002 112.000000 115.300003 121.599998 130.000000 134.479996 146.000000
29504 -91.667084 48.894585 12810 -10204333.000000 5442920.500000 1974 1 6.230000 6.541000 6.957000 7.164000 7.447000 7.674000 8.104000 8.648000 10.208000 12.437000 22.229000
31437 -120.392082 49.589584 1707 -13401985.000000 5520287.500000 1974 3 0.793000 0.821000 0.869000 1.031000 1.243000 1.388000 1.623000 1.790000 2.376000 2.996000 4.134000
40202 116.276253 -33.277916 35305 12943813.000000 -3704480.750000 1974 4 0.000000 0.000000 0.000000 0.000000 0.000000 9.900000 111.449997 241.000000 330.000000 474.500000 515.000000
30026 -131.158752 57.900417 820 -14600526.000000 6445445.000000 1974 5 0.311000 0.311000 0.311000 0.311000 0.340000 0.340000 0.368000 0.408000 0.612000 1.172000 9.883000
21667 -117.941254 34.939583 10527 -13129160.000000 3889456.500000 1974 7 1.666000 1.735000 1.781000 1.781000 1.900000 1.900000 2.024000 2.050000 2.707000 3.193000 3.536000
8167 -71.272919 42.398750 24879 -7934065.000000 4719807.500000 1974 10 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.003000
17784 -92.707085 35.547085 16619 -10320105.000000 3957083.500000 1974 11 0.046000 0.049000 0.071000 0.096000 0.120000 0.137000 0.167000 0.190000 0.225000 0.341000 0.454000
1821 -117.152084 54.745419 4466 -13041310.000000 6094232.000000 1975 1 0.023000 0.023000 0.023000 0.023000 0.023000 0.023000 0.023000 0.023000 0.023000 0.023000 0.028000
7846 133.180420 33.576248 35686 14825577.000000 3737690.750000 1975 2 0.000000 0.000000 0.000000 0.000000 0.000000 0.002000 0.003000 0.006000 0.008000 0.009000 0.031000
38679 148.100418 -35.925415 38809 16486463.000000 -3999199.000000 1975 3 35.200001 37.020000 37.990002 41.160000 42.189999 43.099998 46.540001 47.220001 48.259998 50.299999 56.299999
27061 -80.248749 43.612915 18819 -8933250.000000 4854967.500000 1975 4 0.900000 1.073000 1.100000 1.114000 1.140000 1.150000 1.198000 1.342000 1.461000 1.635000 1.720000
5350 8.598750 46.992916 32162 957208.500000 5231227.500000 1975 4 0.059000 0.061000 0.065000 0.065000 0.065000 0.065000 0.065000 0.065000 0.067000 0.071000 0.071000
38026 146.160416 -38.087917 39952 16270503.000000 -4239927.500000 1975 5 2.549000 3.171000 4.180000 4.531000 4.896000 5.409000 7.439000 8.223000 8.906000 9.747000 11.270000
35423 -49.106251 -28.420416 29621 -5466483.000000 -3163746.250000 1975 6 0.079000 0.091000 0.120000 0.177000 0.326000 0.481000 0.609000 0.722000 0.949000 1.515000 2.577000
39680 149.521255 -33.528751 37971 16644630.000000 -3732403.500000 1976 2 5.975000 7.974000 8.957000 9.010000 9.064000 9.231000 9.486000 9.656000 9.826000 9.945000 11.808000
13621 -89.090416 46.478748 13218 -9917500.000000 5173990.500000 1976 3 0.453000 0.481000 0.481000 0.510000 0.671000 1.303000 1.603000 1.841000 2.257000 3.511000 6.569000
1358 -81.314583 26.933750 20150 -9051898.000000 2998251.250000 1976 4 1.529000 1.586000 1.656000 1.855000 1.968000 2.293000 2.450000 2.577000 2.804000 2.931000 3.256000
3165 15.517917 50.637917 31651 1727446.625000 5636987.000000 1976 4 0.535000 0.702000 0.896000 0.926000 1.000000 1.460000 3.470000 6.185000 7.545000 8.240000 15.100000
3216 26.110416 59.035416 32957 2906598.250000 6571792.500000 1976 4 0.068000 0.076000 0.113000 0.142000 0.224000 0.231000 0.235000 0.239000 0.258000 0.269000 0.280000
34025 -50.287918 -17.079584 29927 -5598025.500000 -1901290.625000 1976 4 0.005000 0.007000 0.007000 0.008000 0.008000 0.009000 0.010000 0.013000 0.017000 0.029000 0.054000
23436 -123.704582 46.628750 2461 -13770731.000000 5190688.500000 1976 5 1.369000 1.451000 1.451000 1.535000 1.535000 1.535000 1.620000 1.708000 1.708000 1.744000 1.888000
24394 -112.228752 44.177082 10014 -12493248.000000 4917770.500000 1976 6 134.160004 139.266006 145.906998 149.636993 152.641006 157.177994 164.063004 174.528000 185.619995 192.789001 204.697006
